16:54:49.550431 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3424916485:3424916526, ack 1515649543, win 229, options [nop,nop,TS val 676419 ecr 803126], length 41
16:54:52.443013 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3582:3618, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677142], length 36
16:54:52.443228 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3618:3718, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677142], length 100
16:54:52.443565 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3718:3754, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677142], length 36
16:54:52.443734 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3754:3870, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677142], length 116
16:54:52.443990 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3870:3906, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677142], length 36
16:54:52.450189 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3906:3966, ack 2293, win 270, options [nop,nop,TS val 803851 ecr 677143], length 60
16:54:57.381664 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2293:2329, ack 3966, win 290, options [nop,nop,TS val 678377 ecr 803851], length 36
16:54:57.383521 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3966:4002, ack 2329, win 270, options [nop,nop,TS val 805083 ecr 678377], length 36
16:54:57.461792 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2329:2365, ack 4002, win 290, options [nop,nop,TS val 678397 ecr 805083], length 36
16:54:57.464450 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4002:4038, ack 2365, win 270, options [nop,nop,TS val 805103 ecr 678397], length 36
16:54:57.590774 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2365:2401, ack 4038, win 290, options [nop,nop,TS val 678429 ecr 805103], length 36
16:54:57.592042 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4038:4074, ack 2401, win 270, options [nop,nop,TS val 805136 ecr 678429], length 36
16:54:57.709965 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2401:2437, ack 4074, win 290, options [nop,nop,TS val 678459 ecr 805136], length 36
16:54:57.711677 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4074:4110, ack 2437, win 270, options [nop,nop,TS val 805165 ecr 678459], length 36
16:54:57.757950 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2437:2473, ack 4110, win 290, options [nop,nop,TS val 678471 ecr 805165], length 36
16:54:57.759810 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4110:4146, ack 2473, win 270, options [nop,nop,TS val 805177 ecr 678471], length 36
16:54:57.898357 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2473:2509, ack 4146, win 290, options [nop,nop,TS val 678506 ecr 805177], length 36
16:54:57.899747 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4146:4182, ack 2509, win 270, options [nop,nop,TS val 805212 ecr 678506], length 36
16:54:57.973926 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2509:2545, ack 4182, win 290, options [nop,nop,TS val 678525 ecr 805212], length 36
16:54:57.975860 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4182:4218, ack 2545, win 270, options [nop,nop,TS val 805231 ecr 678525], length 36
16:54:58.086301 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2545:2581, ack 4218, win 290, options [nop,nop,TS val 678553 ecr 805231], length 36
16:54:58.087604 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4218:4254, ack 2581, win 270, options [nop,nop,TS val 805259 ecr 678553], length 36
16:54:58.268290 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2581:2617, ack 4254, win 290, options [nop,nop,TS val 678599 ecr 805259], length 36
16:54:58.269908 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4254:4290, ack 2617, win 270, options [nop,nop,TS val 805305 ecr 678599], length 36
16:54:58.334676 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2617:2653, ack 4290, win 290, options [nop,nop,TS val 678615 ecr 805305], length 36
16:54:58.335724 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4290:4326, ack 2653, win 270, options [nop,nop,TS val 805321 ecr 678615], length 36
16:54:58.479068 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2653:2689, ack 4326, win 290, options [nop,nop,TS val 678651 ecr 805321], length 36
16:54:58.480834 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4326:4362, ack 2689, win 270, options [nop,nop,TS val 805358 ecr 678651], length 36
16:54:58.558368 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2689:2725, ack 4362, win 290, options [nop,nop,TS val 678671 ecr 805358], length 36
16:54:58.560047 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4362:4398, ack 2725, win 270, options [nop,nop,TS val 805377 ecr 678671], length 36
16:54:58.722912 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2725:2761, ack 4398, win 290, options [nop,nop,TS val 678712 ecr 805377], length 36
16:54:58.724777 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4398:4434, ack 2761, win 270, options [nop,nop,TS val 805419 ecr 678712], length 36
16:54:58.883206 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2761:2797, ack 4434, win 290, options [nop,nop,TS val 678752 ecr 805419], length 36
16:54:58.885405 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4434:4470, ack 2797, win 270, options [nop,nop,TS val 805459 ecr 678752], length 36
16:54:59.315135 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2797:2833, ack 4470, win 290, options [nop,nop,TS val 678860 ecr 805459], length 36
16:54:59.316697 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4470:4506, ack 2833, win 270, options [nop,nop,TS val 805567 ecr 678860], length 36
16:55:00.376074 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2833:2869, ack 4506, win 290, options [nop,nop,TS val 679126 ecr 805567], length 36
16:55:00.379128 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4506:4542, ack 2869, win 270, options [nop,nop,TS val 805832 ecr 679126], length 36
16:55:00.381008 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4542:4602, ack 2869, win 270, options [nop,nop,TS val 805832 ecr 679126], length 60
16:55:00.935583 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2869:2905, ack 4602, win 290, options [nop,nop,TS val 679265 ecr 805832], length 36
16:55:00.937364 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4602:4638, ack 2905, win 270, options [nop,nop,TS val 805971 ecr 679265], length 36
16:55:01.048409 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2905:2941, ack 4638, win 290, options [nop,nop,TS val 679294 ecr 805971], length 36
16:55:01.050167 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4638:4674, ack 2941, win 270, options [nop,nop,TS val 806000 ecr 679294], length 36
16:55:01.167802 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2941:2977, ack 4674, win 290, options [nop,nop,TS val 679323 ecr 806000], length 36
16:55:01.169569 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4674:4710, ack 2977, win 270, options [nop,nop,TS val 806030 ecr 679323], length 36
16:55:01.174809 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4710:4874, ack 2977, win 270, options [nop,nop,TS val 806031 ecr 679324], length 164
16:55:01.174888 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4874:4910, ack 2977, win 270, options [nop,nop,TS val 806031 ecr 679324], length 36
16:55:01.174925 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 4910:5034, ack 2977, win 270, options [nop,nop,TS val 806031 ecr 679324], length 124
16:55:01.174958 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5034:5070, ack 2977, win 270, options [nop,nop,TS val 806031 ecr 679324], length 36
16:55:01.174983 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5070:5194, ack 2977, win 270, options [nop,nop,TS val 806031 ecr 679324], length 124
16:55:01.175006 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5194:5230, ack 2977, win 270, options [nop,nop,TS val 806031 ecr 679324], length 36
16:55:01.175029 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5230:5354, ack 2977, win 270, options [nop,nop,TS val 806031 ecr 679324], length 124
16:55:01.175054 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5354:5390, ack 2977, win 270, options [nop,nop,TS val 806031 ecr 679324], length 36
16:55:01.176758 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5390:5450, ack 2977, win 270, options [nop,nop,TS val 806031 ecr 679325], length 60
16:55:04.029299 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2977:3013, ack 5450, win 305, options [nop,nop,TS val 680039 ecr 806031], length 36
16:55:04.030859 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5450:5486, ack 3013, win 270, options [nop,nop,TS val 806744 ecr 680039], length 36
16:55:04.199242 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3013:3049, ack 5486, win 305, options [nop,nop,TS val 680081 ecr 806744], length 36
16:55:04.200207 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5486:5522, ack 3049, win 270, options [nop,nop,TS val 806787 ecr 680081], length 36
16:55:04.289391 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3049:3085, ack 5522, win 305, options [nop,nop,TS val 680104 ecr 806787], length 36
16:55:04.291140 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5522:5558, ack 3085, win 270, options [nop,nop,TS val 806810 ecr 680104], length 36
16:55:04.345170 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3085:3121, ack 5558, win 305, options [nop,nop,TS val 680118 ecr 806810], length 36
16:55:04.346823 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5558:5594, ack 3121, win 270, options [nop,nop,TS val 806823 ecr 680118], length 36
16:55:04.401231 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3121:3157, ack 5594, win 305, options [nop,nop,TS val 680132 ecr 806823], length 36
16:55:04.402411 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5594:5630, ack 3157, win 270, options [nop,nop,TS val 806837 ecr 680132], length 36
16:55:04.532924 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3157:3193, ack 5630, win 305, options [nop,nop,TS val 680165 ecr 806837], length 36
16:55:04.534196 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5630:5666, ack 3193, win 270, options [nop,nop,TS val 806870 ecr 680165], length 36
16:55:04.616996 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3193:3229, ack 5666, win 305, options [nop,nop,TS val 680186 ecr 806870], length 36
16:55:04.618769 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5666:5702, ack 3229, win 270, options [nop,nop,TS val 806891 ecr 680186], length 36
16:55:04.874661 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3229:3265, ack 5702, win 305, options [nop,nop,TS val 680250 ecr 806891], length 36
16:55:04.876479 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5702:5738, ack 3265, win 270, options [nop,nop,TS val 806956 ecr 680250], length 36
16:55:05.079593 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3265:3301, ack 5738, win 305, options [nop,nop,TS val 680301 ecr 806956], length 36
16:55:05.081432 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5738:5774, ack 3301, win 270, options [nop,nop,TS val 807007 ecr 680301], length 36
16:55:05.194516 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3301:3337, ack 5774, win 305, options [nop,nop,TS val 680330 ecr 807007], length 36
16:55:05.195925 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5774:5810, ack 3337, win 270, options [nop,nop,TS val 807036 ecr 680330], length 36
16:55:05.758394 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3337:3373, ack 5810, win 305, options [nop,nop,TS val 680471 ecr 807036], length 36
16:55:05.760069 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5810:5846, ack 3373, win 270, options [nop,nop,TS val 807177 ecr 680471], length 36
16:55:05.953811 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3373:3409, ack 5846, win 305, options [nop,nop,TS val 680520 ecr 807177], length 36
16:55:05.960121 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5846:5882, ack 3409, win 270, options [nop,nop,TS val 807227 ecr 680520], length 36
16:55:05.969650 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 5882:6142, ack 3409, win 270, options [nop,nop,TS val 807229 ecr 680522], length 260
16:55:05.969670 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 6142:6178, ack 3409, win 270, options [nop,nop,TS val 807229 ecr 680522], length 36
16:55:05.971919 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 6178:6238, ack 3409, win 270, options [nop,nop,TS val 807230 ecr 680524], length 60
16:55:07.367352 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3409:3445, ack 6238, win 320, options [nop,nop,TS val 680873 ecr 807230], length 36
16:55:07.369146 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 6238:6274, ack 3445, win 270, options [nop,nop,TS val 807579 ecr 680873], length 36
16:55:07.411091 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3445:3481, ack 6274, win 320, options [nop,nop,TS val 680884 ecr 807579], length 36
16:55:07.412358 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 6274:6310, ack 3481, win 270, options [nop,nop,TS val 807589 ecr 680884], length 36
16:55:07.498717 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3481:3517, ack 6310, win 320, options [nop,nop,TS val 680906 ecr 807589], length 36
16:55:07.500807 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 6310:6346, ack 3517, win 270, options [nop,nop,TS val 807612 ecr 680906], length 36
16:55:08.423924 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3517:3553, ack 6346, win 320, options [nop,nop,TS val 681138 ecr 807612], length 36
16:55:08.425919 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 6346:6390, ack 3553, win 270, options [nop,nop,TS val 807843 ecr 681138], length 44
16:55:08.597079 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3553:3589, ack 6390, win 320, options [nop,nop,TS val 681181 ecr 807843], length 36
